ID,Username,City,Country,Date,Comment
16,Allkuans,Singapore,Singapore,28-June-2016,"Bei Yuan has a long history since 1928 and the food doesn't disappoint especially to us from Singapore. The waiting time was not too long and we took our time to take in the beautiful setting of the building. It is one of China's top restaurants and we fully agree after a sumptuous lunch. We ordered many dishes including some of the staff's recommendations.
All were top-notch. We were advised to order the 'Cheong Fun' which we were of course very familiar with. We were surprised by the appearance of a plate of plain white rice roll. Just with side dishes of peanut sauce and soybean paste sauce. We all were won over by the smoothness of the 'Chee Cheong Fun' - the best rice roll we have ever tasted."
17,synthiab,None,None,10-February-2016,"Went here for my husbands birthday. The staff is excellent, very attentive and friendly. Food is outstanding, everything we tried was delicious. The restaurant is beautiful and has an authentic feel to it. I would highly recommend it."
18,ryanteo,None,None,19-June-2015,"This restaurant is located right opposite Yuexiu Park. It is a long-established restaurant well-known for its authentic Canton cuisine. The restaurant is very reputable among local residents. Wide selections of Canton dishes, food quality and staff service are excellent."
19,Philip P,None,None,30-October-2019,"We had lunch there. Traditional Chinese restaurant with a Michelin recognition. Ground level rather large, nearly cantine, but upstairs private rooms with excellent service and great food. Really spectacular!"
20,WSY11,Singapore,Singapore,4-September-2019,"We came here after our ferry cruise. Having tried another branch, we are pleased to note the food quality control is good. The good standards are maintained at this restaurant too.

As this is a bigger restaurant, the waiting time is shorter . Service is good too."
21,pancakesforlunch,None,None,8-May-2019,"The service was rather fast, restaurant easy to spot as it’s a big building on its own. The portions are just nice for 4-5 pax. Must try : silken tofu, charsiew & siobah!"
22,vinceta2015,Singapore,Singapore,1-June-2018,"Went to HuaYin outlet because it is the msin restaurant at 10pm. The restaurant is still crowded at this hour but the popular dishes like roasted meat and chicken have been sold out. I ordered other dishes instead. I can see it is a popular restaurant as the taxi drivers knew the location well. Serving was not very fast but bearable in waiting time.
The restaurant wifi is powerful and I managed to communicate via Whatsapp there. Recommended."
23,hamishclifton,Folkestone,United Kingdom,6-January-2018,"We visited with 2 Chinese friends. There aren't many westerners but its incredibly popular with discerning Chinese and the restaurant fils 5 floors. The food is excellent and being Cantonese cuisine is relatively easy for westerners.

The whole place is a buzz and you have to book. You may need a Chinese speaking friend or concierge to handle that part for you! The place is spilling over with customers and that's half the fun of eating out. Its an interesting experience and worth booking."
24,thomasgO6630KR,None,None,8-June-2017,"Traditional Chinese food Nice place to enjoy Chinese Big restaurant, fast service , many special dishes"
25,wks2017,Singapore,None,29-May-2017,"In Guangzhou for some meetings and the family tagged along. For us, Bingsheng at Haiyin Bridge is a must every time we are in Guangzhou.

Being a true Cantonese restaurant, the dishes run out with time (they prepare a finite number to ensure freshness) so come early like 1700 to pick up a table.

Classics like Char Siew (叉烧）,Tofu (水鬼重）are great. We usually sample the seasonal dishes that changes for variety. Top it up with a French Buns (法式餐包) which are actually extremely fluffy Char Siew Buns. However, the restaurant runs at the frantic pace so everything gets served together. A neat trick is, if the tables in the main areas are taken, just pay a little more for a private dining. It's worth it.

Fantastic value for money too.

Enjoy!"
26,Chun pang L,None,None,27-August-2016,"We ordered a local dish if steamed chicken, and fried vegetable and soup. Though it was already after 8:00pm, people still full there. But service was slow and inefficient. The dish of steamed chicken supposed to be a signature choice, but quite disappointing that, it was too hard and taste was not deeply through. I did visit 3 other branches of the same cuisine, but this head branch was the worst I had ever experienced."
27,Bax_in_BKK,None,None,30-April-2015,"Some of the very best Chinese food I have ever eaten. The goose was good, but the stand out was the salmon. Highly recommended for authentic Cantonese cuisine"
28,bcheong,Bangkok,Thailand,11-January-2015,"Came here for lunch and supposedly a popular place. It's a large 7 storey restaurant and was indeed quite packed. Got a private room and ordered the usual Cantonese fare - steamed fish, goose intestines , pineapple buns etc. They were mostly ok. What stuck out for us was how surly and disinterested the staff were. They all seemed to be either robotic or hate their jobs"
29,Chet D,Zhongshan District,Taipei,16-June-2014,"Although I was travelling by myself, i just had to sample enough food for four people and it was all very excellent. My favorite dish was a chilled white fish dish (sorry don't recall the name). Also, the scallops are excellent. I wish I would of tried the plates of sashimi white fish(don't know the name), it was one of the house specialties and everyone was eating plenty of it. The tofu dish was very nice and they had many versions from which to choose. I would recommend this place to everyone and the larger the group the better. Very good service for a restaurant with limited English speaking staff."
30,Andrew_Alin,Greater Adelaide,Australia,7-March-2014,"The dinner we had here was one of the best meals we had in guangzhou. We ordered 2 different types of shellfish, mantis prawns, a beef dish, and a vegetarian mushroom dish. All were fantastic, and you can taste the freshness of the seafood.

Prices were reasonable for a restaurant of this quality, and the staff were friendly and efficient.

We'll definitely be back here again next visit to guangzhou."
31,Esh9,Tualatin,Oregon,22-February-2014,"We had a lot of good food in Guangzhou, but this place was the best. The wait staff was attentive and welcoming and the food was incredible. Apparently westerners are not too common there, as our young waiter was excited to practice his English, and asked us to pose in a  selfie  with him. Every dish was excellent, but the pineapple buns are especially good. The seafood is fresh, harvested from the many tanks in the back end of the restaurant. Great food at very reasonable prices."
32,Jinky L,manila,None,21-January-2014,"All floors of this restaurant building were packed with locals. Every dish we had was yummy- the cold cuts, vegetables (mushrooms, abalone, greens,) fish, beef, pork, hotpot, desserts. Tip: don't bother ordering the lowly carbs such as rice & noodles. Make space for the main dishes!"
33,HappyfeetII,None,None,7-December-2019,"Chinese food done very well. Insofar the most memorable dinner place I’ve had in Guangzhou, surpassing even Hong Kong and Singapore experiences. I will return for sure.

(And I insisted for the polo bun (served in 6) for dinner - no regrets, truly the best ever - size of Thai fragrant coconut but don’t worry - it’s hollow inside!)"
34,ConanC_12,Los Angeles,California,3-November-2019,"The tables for two dinners are so close (closer than McD, KFC) that I literally listened to a women talked the whole time. The food was ok but all left available on the menu around 2:30pm were most profitable items I can say. There was not much service and luckily we weren’t charged with 15%service fee. The waiter placing our order were all about pushing for sale, sale, sale but LISTENING. If you are looking for some special dishes that are only available here, go for it, or try somewhere else."
35,vt523,Brisbane,Australia,12-October-2019,"This restaurant was recommended to us by a local and we were not disappointed. The dishes that were a standout to us were the roast pork, BBQ pork, pork and taro, steamed egg. We came for dinner two nights in a row before left Guangzhou. Pays to be early or attend later as there were a lot of people waiting inside and outside of the restaurant waiting for a table when we left the restaurant. Worth a visit if you are in Guangzhou."
36,Mary L,None,None,9-October-2019,"This is a pretty famous restaurant in Guangzhou. We were here because the taxi driver recommended to my friend. They have lots of variety of dishes on the menu but the price seems to be expensive. We ordered one small crab with roe on a very big plate cost about 450 yuan. And frankly i don't see any crab roe in it, but you can taste the crab roe in powdery sauce and the body of the crab is so small but the crab shell is very big. We ended up paying 800 over yuan for 3 dishes. The service is considered good but you can find a better restaurant with better food serve in Guangzhou."
37,WSY11,Singapore,Singapore,4-September-2019,"We were so impressed by the food and the service that we went back there 3 times during our stay.

We ordered their signature black char siew, polo Bao, goose intestines and the double milk dessert, amongst other food.

The char siew simply melts in your mouth & the polo Bao is the best we had eaten so far."
38,PushExplore,None,None,18-June-2019,"The Bingsheng PinWei Restaurant was awesome. Such a large variety of exotic dishes. A little expensive, but the food was worth it. Quite enjoyed dining here."
39,dorsalmo,Florissant,Missouri,22-April-2019,"I'm not sure how accessible this place is. Some Chinese colleagues took me here one night during my visit. The place feels fancy, but there were families there and the guests seemed to act fairly casual. The service is good, and the food is decent. It's probably one of the better lunches/dinners I had while in China (but that's not saying much because most of the others were bad).

The most different thing about this place is that the menu is HUGE. No, wait... that's not enough emphasis... IT WAS HUUUUUUGE!!!!! The thing is literally a book. Kudos to them for everything being displayed in a large picture. Obviously they pride themselves on the large variety of exotic food they serve. I'm a fairly adventurous eater, and I tried a lot of exotic food while I was in China, but I have to say there was a lot on that menu that I wouldn't want to eat. Still, there's so much to choose from that you're bound to find something good."
40,313globetrotter,Singapore,Singapore,30-March-2019,"This is one of the most popular restaurants in GuangZhu. There are several outlets spreading in different areas in GuangZhu. The TianHE Branch is my favourite. The restaurant has individual rooms for dinners, who require privacy. Some rooms have own toilets!!! The restaurants also has open area, where by dinners can share with other dinners. The Service is Very Good AND THE STAFF VERY POLITE and helpful. The car park is huge and good. The quality of food is Very Good and the price acceptable. The ambience is Good. there ARE SOME SPECIAL DISHES THAT only AVAILABLE FROM THIS RESTAURANT !!! Try it for the experience !!!"
41,dickwan,World,None,10-March-2019,"Visited restaurant just 45mins before closing time. Rushed to order the food and did not have high expectations. However, was pleasantly surprised that the standard of food served was not compromised. Highly recommend the crispy skin roasted pork belly and halibut in a claypot. Try to allow for more time as they have many dishes to savour."
42,Applebananananana,Singapore,Singapore,10-November-2018,"After reading the multiple good reviews, I was really looking forward to some authentic, delicious Cantonese fare at Bingsheng Pinwei. As such, I had ordered the restaurant's specialities - the Black Char Siew and Braised Tofu. However, I was nothing but disappointed with not one but both dishes. The char siew was too fatty and tough to chew - it could not even be cut properly wth chopsticks. The braised tofu was bland and had a weird taste to it - seems like the combination of fish head/bones and jelly pork just did not go well together. We were also supposed to have ordered another vegetable dish (which I am glad we did not given the poor quality of the other dishes) but the waiter had gotten our order wrong so we cancelled it in the end. Service was average and location is definitely not the most convenient - you have to get out from the right exit of Taikoo Mall, otherwise please be prepared for a long walk to the venue. In all, this was not a pleasant experience for us and we have definitely tasted much better Cantonese food elsewhere."
43,jay a,None,None,6-November-2018,"Restaurant was recommended by a friend, I was expecting a lot we have been to a very good restaurant the night before. I was not disappointed the cantonese cooking was superb everything we ordered is delicious. The crispy pork was amazing."
44,rtansfdc,Georgia,None,6-November-2018,"I expected to see more Cantonese food in Guangzhou but in maybe it has changed. Most people in Guangzhou don't even speak Cantonese. Sad!!! There are so many Chinese migrated from the north and because of that, Guangzhou restaurants changed as well. This restaurant offer so much Cantonese dishes I wished we have time to come back to try all of them. Price is not super cheap but not too expensive neither."
45,alastair4,Christchurch,New Zealand,3-November-2018,"I was with my work colleague from China, who was excited about us visiting this restaurant ( one of a number ) that he claims as being famous for serving local Cantonese cuisine. Certainly an impressive restaurant in respect to size. I believe this particular restaurant covers four floors with large dining rooms that were full of diners. The atmosphere is busy due to the number of diners and the size of the restaurant room. The service was prompt and friendly, though unfortunately I was disappointed with the food, though of course this might be that the style does not suit my palate. We ordered the goose ( no duck was available ) and I found it to be too fatty, this was followed by a mixed plate of pork that again was fatty and I could not finish or enjoy. Deep fried eggplant again just did not tick the box for me. Not a pleasant meal for me but obviously by the reviews this is a local favourite.."
46,ksarman,Yangon (Rangoon),Myanmar,28-September-2018,"I can say that it s a huge restaurant
But look like it s an culinary institution
I am not an expert on Chinese food but it was so good and tasty
The dinning is full of life , I mean, noisy like hell
Nice experience"
47,chingmanj,None,None,12-May-2018,"A local friend brought us here. I’m from Hong Kong and I’m used to Cantonese restaurant. However, I’m surprised and excited to see lots of dishes I’ve never seen before, original from the restaurant itself. The restaurant is spacious and the menu looks very impressive. We ordered quite a lot of food and they are all very delicious."
48,caothinh,None,None,28-April-2018,"Not worth waiting for 1 hour to get a table, booking via telephone is not available since there are too many customers come. The only way to get a table is to come and pick a table and queue."
49,21parisf,None,None,20-March-2018,"This restaurant is the real deal! You must try the stuffed peppers. Also, the various noodle dishes are amazing. Some of the meal had some spice to it- but wow!!! Just wow!!"
50,cy_sg,Singapore,Singapore,29-December-2017,"My wife and I dined at Bing Sheng on our recent visit to Guangzhou. This particular outlet is located just across the road from the upscale Taikoo Hui mall, which means it is quite easily accessible via metro. It's closer to the Mandarin Oriental end of Taikoo Hui and you only need to cross a busy road junction to get across to Bing Sheng.

We were there on a Sunday afternoon and it was crowded at lunch hour. Fortunately, we were able to find the last table in the restaurant which was just next to the main door. This is a busy restaurant with a wide variety of patrons including families and couples, although they appeared to be largely local - this can't be a bad thing. As with many of Guangzhou's larger restaurant chains, the menu was in both English and Chinese and there were photos to accompany the dishes - well presented but this also meant flipping through a rather heavy, book-like menu.

Between the 2 of us, we ordered a Honey BBQ Pork dish (Char Siew), a beancurd dish (cooked in 3 different styles), a Claypot Beef and a Vinegared Cabbage dish. As with our other experiences at restaurants in Guangzhou, there was a long interval in between the serving of dishes. Our BBQ Pork dish arrived within 10 minutes of ordering, but the gap between the subsequent dishes ranged between 10 to 20 minutes, which resulted in some of the earlier dishes turning cold by the time the other dishes arrived. It didn't help that we were seated near the main door and they left the main doors wide open (on a particularly cold December day).

This food quality was good, and the service was acceptable. The BBQ Pork and the Claypot Angus Beef were particularly memorable. That said, it would have been great if the dishes could have been served at closer intervals but I guess they have different chefs who specialise in different dishes; and the crowds weren't helping as well. This was our most expensive meal in Guangzhou (at about 40-45USD for 2 including tea and steamed rice). Not a bad meal but not cheap by Guangzhou standards."
51,Lady_Snowhawk,Greater London,United Kingdom,14-December-2017,"Very lovely restaurant, was very busy but service was still super fast and efficient. Located right next to the Taihoo mall so it was really easy for us to travel here. This place serves some pretty unique food, such as their famous tofu three ways and super crispy pork belly. The latter only had a very small serving however, and it was way too fatty for our taste (coming from someone who enjoys more than just lean meat). The actual taste was overrided by the overwhelming taste of fat which practically was leaking out of the meat when you bit into it. The tofu was very smooth and delicious however, and was served with some mince and sweetcorn just to add some other flavours in.

Along with these, we also had a very refreshing soup, duck and turbot, all for a very reasonable price. I generally only like dim sum restaurants, but this place actually had a huge variety of dishes that I would definitely recommend (such as the tofu or the soup)."
52,alvinsasmita,Jakarta,Indonesia,26-July-2017,"Went to BingSheng for dinner. Have to say we probably had the best pork belly ever. It literally melts in your mouth. Other menus were also cooked right and quality of the ingredients were good, though the cuts were not always feom the best part. Couldn't complaint with the pricing they have though.
Each serving portion was just about right for 3-4 people.
Overall we had a great dinner with a reasonable price. It's not the cheapest but definitely not expensive and worth every penny."
53,gamrerk,None,None,7-July-2017,"Good food with reasonable price. My most favorites are roasted pork (char-siew) and pineapple bun. Note that portion of the buns is super big, I have to take 4 of them home."
54,demandingp,Taipei,Taiwan,22-May-2017,"I usually stay at Mandarin Oriental and the restaurant is just across the street. Food was extremely nice and the price is affordable.

Don;t be afraid to go in as it look like a mid-range restaurant but indeed the price is cheap for RMB 40-80 a dish.

One of my favorite Chinese Restaurant in GZ."
55,KanMacau,Macau,None,19-April-2017,"Had lunch there during our last visit to Guangzhou. We went there at noon without reservation but we were still assigned a table. The décor is maintained in its own style across the chain and the menu is also similar. Service is fine and food is served quite efficiently. I would come back again to this restaurant in next visit to Guangzhou."
56,philipperO754EH,None,None,10-April-2017,"It is rare to find in Guangzhou an elegant restaurant. This is one, with a view on the iconic Guangzhou Tower. Food is good too... A floor is the common ding room and another floor(s) offers private rooms in even more luxury."
57,Eline S,None,None,10-April-2017,"Excellent food, prompt service. There best I've eaten in Guangzhou since being here! The fried aubergines/crab tanghoon really stood out. The food here is interesting and pretty innovative as well!"
58,705huil,Austin,Texas,16-February-2017,"The place is for locals- evidenced by the stools lined up at front door, and the crowds gathered for a weekday dinner. Went there with BFF and spent $30 for much more than what we can consume. We like the Duran cake, the tofu dish (水鬼重 with duck) and a veggie dish (小炒皇）Service is adequate. Remember to call ahead reserve a spot in the queue waiting."
59,FoodieHKSG,None,None,30-December-2016,"Lots of customers even after so many years, they are the best food I have eaten in Guang Zhou, continuous innovation is their secret of success"
60,Alex5590,Selangor,Malaysia,5-December-2016,"Bingsheng restaurant have a few branches in Guangzhou, so we choose the Jiangtai Road branch because
very to Jiangtai Metro station. Arrived at about 1.30pm for lunch & was not crowded. Most of the people in the restaurant
are local here.

Menu were easy to order all the dishes are photo in the menu. We order steam chicken, black char siew, goose intestines, roast goose, steam fish & Choy sum. We want to order siew yoke but was sold out. Excellent taste yummy to us no complaints, reasonable price will definitely come back to try Siew yoke, crispy BBQ pork & others."
61,DrTim2016,Los Angeles,California,29-November-2016,"There are two parts to this restaurant. As you get to the entrance the left side is the more fancy side while the right side is where the locals go. If you go to the right side (like I did) you better go with a local. No one spoke English so you are left to look at the pictures and using google translate [which I cannot post what it said!], which is fine, but as is almost always the case the pictures are much better than reality!

The servers were nice but laughing the whole time because communication was hard. Order the barbecue pork, fried rice and fried eggplant (I think). The eggplant was fine, the fried rice ok and the pork nothing but fat. Overall a mediocre meal but the place was crowded and I was warned that lines can be long to get in so I will take some blame in not being able to communicate well enough.

Plus the while the entire meal was only $32."
62,SuinaKnows,Irvine,California,9-May-2016,"I love coming here... Dream of coming back here, every time I am in town. The line is very long, everyday. Try to call ahead to line up with your phone number. My colleagues/locals who work also come here all the time! Famous for their crispy and black pork, you cannot find them anywhere else. I personally like the crispy one.., crunchy then melt in your mouth . Their tofu dish is also very good, as they make in house (I usually order the plain style with 3 colors). There is this veggie (similar to very thin celery) that I also order every time. It is unique to the south region. Every table also order the gigantic pineapple bun that is soft and sweet. The service is quick, efficient, and friendly. Love it here."
63,SaadSeeb,None,None,29-April-2016,"Was taken here by local friends. Huge restaurant with multiple floors and very busy. Had sashimi and crab and a host of other seafood dishes. All were good."
64,Patsy_L5,Singapore,None,22-April-2016,"This is one restaurant that I have been coming back to dine every time I travel to GZ. The standard of the food is very consistent; it has remained the same for the past 4 yrs since I first started patronising it. Visited another branch but this branch is better. Usually we go for the roast goose; succulent meat with its special sauce dribbled over it. The tofu is also good. Another item that is a must have is the soup. We usually order the daily special, nothing fanciful but wholesome home cooked taste to it. There's also this vegetable dish with lotus root slices and other greens fried together. Very yummy too. Overall, this is a restaurant that offers good food at reasonable prices. Best of all, it is open till late and we can come here at 10 plus for dinner after all the retail shops have closed. The only thing is, the roast goose would have sold out by then! Otherwise, be prepared to queue for at least 30-45 mins during dinner peak hours. They offer you stools to sit outside restaurant and free wifi. Service wise, we have no problems with the efficient staff and never felt pressurized to order extra food. For 4 adults, we usually order the soup plus another 3 dishes."
65,Hiroaosta,None,None,5-April-2016,"This restaurant is very popular restaurant of Guangdong cuisine. So many visitors are here. So it's better to book in advance. My favor dishes... BBQ pork (焼豚) Duck Intestine Pineapple bread My personal evaluation. Foods taste = Very Good Service = Acceptable Price = Acceptable"
66,ygyno83,None,None,29-February-2016,"real chinese restaurant, with few western people. Very big, good quality of food. Vermicelli with grab and fried dumplins are suggested"
67,Cunovanthoff,Amsterdam,The Netherlands,20-November-2015,"This restaurant is immens popular with the local Guangzhou people. Big and crowded, with a lot of private dining rooms. The food is quite rural, nothing very special but nothing to complain about. Waiters don't speak any English and are sometimes a bit unexperienced (especially with foreigners). Worth visiting, just to get the Canton experience."
68,Henna P,None,None,4-November-2015,"visited this restaurant for lunch, and had the opportunity to taste various Cantonese delicacies, incl very good dim sum, and the restaurant´s special pineapple buns for dessert. excellent food, and a nice view to the Canton Tower."
69,Robredo,None,None,16-October-2015,"This restaurant is close to the shopping mall of Taikop Hui, and is very popular, make sure to go there before 6pm, otherwise you need to wait long time. Popular dishes include roast pork, steam chicken, brine pork."
70,TravelMaMa7_7,None,None,4-October-2015,"One of the best restaurant in Guangzhou. Very delicious Cantonese food with reasonable prices. Have to make a reservation in advance. Will go back if visiting Guangzhou."
71,FELIXTSANG,None,None,16-August-2015,"In Guangzhou, if u want choose some Chinese food , and not much ideas on U can choose that restaurant Hygiene , good service Can try here"
72,amazingtripsasia,None,None,11-August-2015,"Great restaurant, nice and cheap! There is a long queue and I must say that it is worth the wait! However service is a challenge and language barrier can be a slight issue. Food is great!"
73,Pradeep R,None,None,7-August-2015,"Excellent Cantonese food. The durian pastry is very good and delicate. As other reviewers have mentioned, the Pineapple buns also very good. I like most of the food here. They run out of items if you are late. The fish congee, rice noodles with fish belly and fried Tofu fish (Bombay Duck) were all excellent"
74,nicolausm532,Geneva,Switzerland,29-July-2015,"Had lunch and loved the food. Service was very quick too and pretty attentive, pictures make chosing easier for those who cannot converse with the locals.
With so many dishes to chose from, it was a pity we were only two, best is to go in a group of at least 6 so everyone can taste a little of everything."
75,Robert C,Mt Eliza,Australia,15-June-2015,"We were told by two locals that Binsheng was  the best and most famous restaurant in Guangzhou , so we were eagerly looking forward to dining there. After a ten minute queue for a table, which we were told to expect, we were seated and looked through the very extensive menu with photos of every item. After making our five selections we learnt that three of them were not available so we settled on some alternatives. All this was done with a combination of pointing and other forms of sign language as no one on the staff spoke a word of English. We could not fault their friendliness and willingness to help but it was not easy for them or for us. When the food arrived at our table it was not the highlight we had expected. Nice, but we have had the equal, and better, in Camtonese restaurants in Australia however it was astonishingly cheap and that went some way to easing the disappointment."
76,TeikBoon C,None,None,10-June-2015,"We went on recommendation by our hotel. It was Mother's day on 10 May 2015 and when we got there, there was a long line. Surprisingly, the line moved quickly and we later found out that the restaurant is huge with 5 or 6 storeys of dining halls and rooms. We were led to a private room which normally accommodates 10 but there were only 2 of us.
We were limited in our dinner selection and decided on the captain's recommendation of the char siew, fish head and tofu soup, and fried dumplings. There was also a special char siew which we ordered and OMG how sinfully good it was! The way I can describe it is that it is char siew that is some 80% fat, sugar coated and then deepfried. Unique, delicious but just too rich to finish. The roast goose was very good, tender meat with crispy skin. The dumplings had a unique texture to it, crispy to the bite at the top but soft on the underside, very good.
This being a private room and the fact that it was Mother's Day, the wait staff appeared occasionally and hurriedly, to see if we needed anything. This will be a restaurant I want to return with a larger group to try the extensive menu they have."
77,ryanteo,None,None,14-May-2015,"This restaurant chain serves excellent Cantonese cuisine at reasonable prices. Food quality maintains by them has never disappointed us. Staff service is excellent too. Prior reservation is recommended."
78,malubolo,None,None,20-April-2015,"The Char Siew (BBQ pork) is insanely good. other meats i tried were decent, roast goose was really fatty though still delicious. but the BBQ pork truly stands out."
79,Gogarr,Philadelphia,Pennsylvania,18-March-2015,"Good thing that the menu had pictures! Communication was next to impossible, but the staff tried the best they could. Food was good, but if I spoke Chinese my experience would have been better. My problem, not theirs. They were very nice and patient with us."
80,John S,None,None,1-February-2015,"Without an ability to communicate easily, it's great that the menu is illustrated. There was significant queue for tables too. Food was tasty and delivered to our huge round table quickly."
81,tianshi,singapore,None,30-January-2015,"Bingsheng was introduced to me 5 years ago on my first trip to Guangzhou. It has been my favourite since and everytime i return to guangzhou, it is on my must go to list. The food here is typical Cantonese cuisine and the highlight is their roasted pork (cha siew). It is well barbequed with their own special sauce and the meat is tender on the inside but crispy on the outside.
Service is good too. If you have a party of four, you may ask for a private room where you will be spared the noise of the communal hall diners. Great for business meetings."
82,Long M,Kuala Lumpur,Malaysia,25-December-2014,"Trying to give you an old style look for its decor and outlook. But everything inside is pretty new.

Food is Cantonese style and quite good.

Just that you have to get there early.

If you are late, you may have to wait for some time before you can get a table."
