ID,Username,City,Country,Date,Comment
15,V657ZJpeterw,None,None,6-April-2018,"I have been going to Beijing Kitchen on every trip to Macau for a couple of times now, and finally thought to write about it. The place is never too crowded (being tucked away in City of dreams and away from the Venetian), service is...More"
16,andrewto1971,None,None,4-April-2018,"This is the second time I tried this restaurant since a few years ago. The food quality is totally disppointing, especially the roasted pork. The dish was so small, the meat was so tough and the taste was so ordinary! The crab congee was also...More"
17,tassosk5,None,None,24-February-2018,"Perhaps the best restaurant in the Grand Hyatt, it features a wood-fire overn (apparently the wood comes for Beijing) for achieving the authentic flavour of the Beijing duck. There are also Cantonese and Shanghainese dishes, but it's best if you focus on Beijing imperial cuisine. Impecable service enhances the experience"
18,TimL3857,Phnom Penh,Cambodia,1-January-2018,"Quality and service were great but price is very high since it’s in a casino hotel . Peking duck has to be ordered one day in advance. It can be ordered in a half though."
19,DocThurm,Burlington,Iowa,16-October-2017,"We experienced nearly everything on the menu. It was a large group that was able to sample so many items on the menu. The service was great. The Peking Duck was tremendous. I had never had it but will have it again. We enjoyed the experience and look forward to returning."
20,VBeary,Bangkok,Thailand,15-October-2017,"We went to try this restaurant because of the reviews on TripAdvisor but the taste of the foods and services were both average. The pecking duck was not something to rave about it was so average and pricey. If you have tried the pecking duck roasted apple wood in Hong Kong then don't waste your time with this ones.
The pancake to wrap the duck with was so dry and stick to each other quite badly. At this price you would expect that each pancake sheet would be separated by a sheet of paper. The restaurant is clean and the atmosphere is nice but I wouldn't go back or recommended this place due mainly to the average taste and quality that doesn't match the price."
21,RoyW916,Armidale,Australia,25-September-2017,"Three of us dined at this restaurant and usually you have to arrange for the duck specialty in advance. Lucky for us someone had cancelled so we were able to enjoy this truly magnificent dish. If you are in Macau then this is a must do.
The restaurant is comfortable and the staff are extremely helpful. The wine selection is good and not over priced.
Would I eat here again - absolutely!"
22,christianf400,Rothenbuch,Germany,12-September-2017,"Truly the best Beijing Duck ever!
Prepared at the table, perfect taste and texture, absolutely delicious!
Big and open places, but also cosy nice niches to enjoy excellent chinese food.
All different plates were so tasty, but I cannot recall any names except the duck.
Try anything, but be careful not to order intestines..."
23,Christophe B,Montreal,Canada,8-June-2017,"We had both a casual dinner with colleagues and a business lunch with customers and the Beijing Kitchen was excellent in both instances, with well-paced and discreet services and succulent Northern Chinese cuisine.

The Peking Duck is their signature dish, but do bear in mind that you'll have to order additional dishes as it will feed no more than a party of 2 -and you'll want additional rice and veg, as a minimum.

The 7 course menu was succulent and well balanced"
24,missytanval,Tokyo,Japan,5-April-2017,"Located at the lobby of the Grand Hyatt Macau, the Beijing Kitchen specializes in Northern Chinese cuisine. Like the rest of the hotel, the restaurant is classy and a good place for hosting business clients and social gatherings alike. It is famous for its wood-fired Peking duck, one of the best we have tasted to date.

My husband and I re-visited the restaurant for dinner recently. We received a warm welcome from Asst Manager Vivian who recognized us immediately even though it has been a while since we last went. As we had not made prior reservation and did not want to wait an hour for its famed Peking duck this time, we chose to have spicy noodles, pan-fried dumplings and one of the restaurant's other signature dishes, crispy fried fish with sweet and sour sauce. Our host Vivian was extremely helpful with food recommendations, and she helped us to have the chefs tailor the dishes according to our preference.

Service was excellent and the food was delicious. Besides Vivian, we also received warm and attentive service from AM Jennifer and Richard. Our hosts surprised us with a beautifully presented dessert assortment at the end of our meal. Wow!

Our thanks again to Jennifer, Vivian, Richard and your team for a truly delightful dining experience. We will definitely be back!"
25,fishlover22,Toronto,Canada,14-March-2017,"We came here for the peking duck. Sad to say it didn't meet my expectations. At 698/duck there was not much meat served considering it was one whole duck sliced beside your table. It barely fed our party of 4. I had only 2 wraps. We had to order some noodles to feed our hungry stomachs."
26,Justin9127,None,None,25-January-2017,"We dined once in this restaurant on our Macau Trip. The Beijing styled dining was good, especially the Peking Duck in which we enjoyed and savored the most delicious was. The other dishes were good and nicely made by experienced chefs. The service was on...More"
27,Audrey A,None,None,2-January-2017,"We checked in late to Hard Rock Hotel next door and called up to make a reservation about 30 minutes before we wanted to dine. The person on the line recommended the Peking Duck which would require a 1 hour roasting time. If we chose...More"
28,Peter M,None,None,1-January-2017,"We called in here for a drink at the bar and a snack on our way to the House of Dancing Water show and had a great experience. Vivian, the bar manager was a star and provided us with excellent service. When we were deciding...More"
29,Dora V,None,None,26-November-2016,"This place used to be have the best Peking duck in town. Haven't been here for months and it's such a disappointment now. We were put at a table at a corner but it was very noisy for some reason. There were loud noise of...More"
30,LucyH127,None,None,3-November-2016,"Design is really eye catching. Contemporary but very traditional Chinese mood at same time. Beijing duck is highly recommended, absolutely delightful taste. Other dishes also very tasty but if someone is not familiar with strong flavor of Chinese cuisine, would not like it. Staffs are...More"
31,Blackfish88,None,None,17-September-2016,"We have visited this restaurant several times and it continues to be one of the best quality restaurants to visit for authentic duck outside of Beijing. Serviced with sugar, garlic purée and in house made sauce. The duck is also carved and presented on 3...More"
32,LindyD815,None,None,15-September-2016,"Visited Macau and visited the restaurant in the Grand Hyatt hotel. Pre-ordered the Peking Duck. It was an experience in itself. Duck was magnificently prepared. You could watch through the open kitchen. Carved at the table, served and presented beautifully. Staff are attentive and the...More"
33,HKeater,None,None,15-August-2016,"This time, the service improved so much that one wonders if there's a catch. But there wasn't. The signature duck came out just perfect and being a lover of this dish wherever it's served in China, we were treated to another great example. Faith restored."
34,Stay129949,None,None,25-July-2016,"It's located in Grand Hyatt Hotel and part of City of Dreams Casino complex. It's a nice and quiet corner to enjoy northern dishes a bit away from the Casino big crowns. The Beijing duck is quite good (not too greasy and in other restaurant)...More"
35,Chunkychan,None,None,25-July-2016,"I've read about this place in numerous magazines, so I had some hopes tending to the  mid-high  end of the spectrum. Their residency in the Grand Hyatt and price range also alluded to the quality of food there. I'll be honest, I was disappointed. The...More"
36,wanming,Kuala Lumpur,Malaysia,13-July-2016,"We ordered Peking duck, dumplings, mushrooms sautéed in salted egg yolk, stir fried vegetables, dried Chili chicken and fried rice.

Peking duck was amazing. Skin so crispy. The meat was succulent and had the right amount of fat. The duck bones were then fried as a separate dish which was also good.

All the other food was delicious. Service is good. Well worth the visit. Would recommend it to anyone and would definitely come back. Prices are on the high side but to be expected at the Grand Hyatt"
37,Venus C,None,None,3-July-2016,"The place is very nicely decorated. The dumplings and other northern dishes are amazing! However, it is not cheap. If you are looking for quality northern chinese food, this is a good place."
38,lucadimazio,None,None,20-June-2016,"After the show Dancing water we had late dinner. The food was nice and well presented. Next time need to try Beijing duck. Looks great! Worth visit."
39,grahamc39,Adelaide,None,11-June-2016,"One of the many superb dining experiences available in Macau and the Beijing Kitchen in the City of Dreams did not disappoint. The decor, table settings, ambience, waiting staff and service were all first rate. The range of dishes were beautifully presented and the flavours exquisite. The open kitchen area also created a fabulous warmth and ambience to the experience."
40,Brian C,None,None,26-May-2016,"We wanted to try the best Peking Duck in Macau and so based on recommendations, we went to Beijing Kitchen. It was the best Peking Duck that we've ever had in our lives."
41,Londondinu,Bangkok,Thailand,7-April-2016,"Unfortunately we could not get the Peking duck, we were told this needs to be pre-ordered, so rather disappointed from the beginning. Nevertheless- we chose some other food which was nicely presented and tasty, but the service is rather cold and food mall like, no smiles except the supervisor, the staff would be emotionless and not very friendly, which is unusual for a Hyatt hotel."
42,pipi_bean,None,None,18-March-2016,"This is the place that is for my family occasional visit, and it never disappointed me with the food and service. Especially thanks to Frank, Yan and Wind for their thoughtful service."
43,hodomania,None,None,25-February-2016,"Excellent meal always at Beijing Kitchen. Peking duck is as usual - perfect. This restaurant never disappoints."
44,eat1226,None,None,24-January-2016,"Beijing Kitchen is located inside Grand Hyatt hotel at the City of Dreams. A reservation is recommended. The one handling reservations further asked us if we want to pre-reserve a duck to ensure that we won't be disappointed in case supply runs out before we...More"
45,Amj1982,None,None,30-December-2015,"Went to Beijing Kitchen for dinner last night with my spouse while visiting Macau. We had been looking forward to the evening as we had read only glowing reviews on Tripadvisor. We left wondering if we had possibly gone to another restaurant than what had...More"
46,supersupergirl,None,None,12-December-2015,"I am not familiar with Macau so my friends chose this place. We had the Double Boiled Abalone and Dried Seafood Soup which was a surprise because I have never seen such a big pot of soup for one person! Then came the Traditional Beijing...More"
47,Lauwy,None,None,18-November-2015,"I had lunch with my family a few days ago and tryed the Beijing duck and a few other dishes (vegetables, dimsum and sweet/spicy chicken). The duck was good and so where the other dishes but nothing special. Just to expensive for this kind of...More"
48,Jess S,None,None,29-October-2015,"Following the good comments and advices i booked the Beijing Duck in advance and it totally lived up to all expectations. Not only the roasted duck was delicious, we ordered a bunch of vegetables and other northern china´s traditional dishes and everything was very satisfying....More"
49,GemmaK123,None,None,20-October-2015,"We enjoyed a very good mandarin fish- cooked to perfection, duck with crispy skin and thin pancakes as well as juicy dumplings and tender pork ribs. Yummmmmyyy. I like the staff there as they will often suggest nice dishes to try!"
50,NorthStar428355,None,None,17-October-2015,"I had dinner and lunch several times at this restaurant. It used to be more expensive than other places, but in a few years the prices have turned into a joke. Last time I went with my husband, had the mandarine fish, dumplings (1) and...More"
51,Kim W,None,None,16-September-2015,"Love the crispy roasted duck which was quite different to the typical duck that you have tried in Peking Garden in Hong Kong. The duck skin were very crispy, the wrapper were hot and yummy, the duck soup i should say was just so so...More"
52,bangkokstory,None,None,26-August-2015,"A high class place for your Chinese traditional meal. For Beijing Crispy Roasted Duck, you must order in advance."
53,timhB9576CT,None,None,23-August-2015,"Try the Beijing duck, but make a reservation and pre-order otherwise it will take an hour or longer. Quite high prices but good value."
54,Ernest A,None,None,23-August-2015,"The food are very traditional and are made fresh. If you want to eat in a room, you'll have to order enough food to reach the $4000 mark"
55,Henrikas P,None,None,11-August-2015,"Like a feature - you can watch the cooking process. Really liked the Peking duck. A bit upset because of the quality of service - but in general, liked everything. It is best to book in advance - for example, before the show, stop by...More"
56,MIchiu4,None,None,10-August-2015,"Went back after some 13 months and to the same quality. Beijing Duck was delicious, black fungus with vinegar sauce a must with some beer, poached chicken went down like a charm as well as other orders. No problems booking, nice waiters attending. the price...More"
57,sunseen,None,None,1-August-2015,"I'm from Hong Kong and I believe there's only 2 places out of the whole HK and Macau that you can have authentic Peking duck. Beijing Kitchen's can definitely match up to Grand Hyatt Beijing's, Da Dong and Duck de Chine's. Awesome!!"
58,HKeater,None,None,29-July-2015,"It's rather dark in the Grand Hyatt lobby. You may miss the restaurant if you don't follow your nose. Excellent Peking duck done the Hyatt way with crispy skin, breast meat and leg meat with skin on three plates. There is so much crispy skin...More"
59,MR_IPA68,None,None,21-July-2015,"We ate here due to the great reviews, unfortunately our meal and experience was very disappointing. While our waitress was very nice, there was definitely a language barrier. The drink menu only shows available liquor brands, so asking for any mixed drinks or specialty drinks...More"
60,fxmag,None,None,13-June-2015,"Amazing Beijing dishes. Great service and great dishes, the main dish should be the traditional Beijing duck that should be reserved in advance. The space if very good and comfortable and the location is great for who want to see  The House of Dancing Water...More"
61,ManmeetBhamra,None,None,1-May-2015,"I was with my wife and I recollect the chef making a dish as per my taste. He added Indian taste as per my requirement and the person serving me was also an Indian who helped the chef understand my taste and get me the...More"
62,Tariq200,None,None,21-April-2015,"Very nice place with good food and drinks however imagine that everytime you want to smoke, you have to walk to the entrance of the restaurant which leads you to the hotel reception area towards the lobby then out the door (3 to 4 minute...More"
63,calvinwei,None,None,7-April-2015,"By far the best Beijing cuisine I've had anywhere. The saucey zha-jiang noodle, the combo plates (4 out of around 20 appetizers to choose from), the Chicken Mushroom soup (broth, not the creamy ones), the hand-made dumpling (JUICY ones!) and obviously the PEKING DUCK. PLEASE...More"
64,tasty22,None,None,13-March-2015,"Fabulous northern Chinese dishes, the dumplings are really good and the service team are great. You can see the Chefs as they prepare food and enjoy the offerings they provide which are quickly delivered to the table... Love it!"
65,NomSutipolC,Bangkok,Thailand,31-January-2015,"Walked pass Beijing Kitchen a few times so decided to try out for a late lunch.

Ordered Tianjin Bun and pork dumpling and found them quite ordinary.

The staff may be were a little tired from the lunch hour so somewhat unattentive.

Nice open kicthen so you could enjoy looking at the chef at work."
66,Inness L,Taupo,New Zealand,28-January-2015,"This is one of my favourite restaurants in Macau, especially for Chinese cuisine. I usually go with some friends. The restaurant is serving great and authentic northern Chinese dishes, such as Peking duck, dumplings, noodles, pan fry lamb etc. Their Peking duck is really delicious, the skin is nicely cut and presented, with the classic pair with the  yellow chives , the sauce and the thin bread. Amazing to pair the Peking duck with a nice glass of pinot noir. Highly recommended this restaurant, Peking duck is a must try."
67,johnpond,Sydney,Australia,9-January-2015,"One of the best if not the best Asian restaurants ever. Situated in the Grand Hyatt Macau, this outstanding restaurant offers superb Asian cuisine. My only regret was that was that I did not have time to revisit it several times during my short stay. If staying anywhere in the casino area of Macau this restaurant is a must."
68,flavorsoflife,Bangkok,Thailand,14-December-2014,"my 2nd time around, this is clearly one of the best restaurants in macau. serving great chinese food, the peking duck is amazing, crisps and not too fat. the handmade noodles are made to perfection and al dente enough to soak up the delicious broth it is in. the dishes are fine and well prepared. you cannot go wrong with any of the dishes. it is certainly worth a trip to cotai just for the meal. it is definitely one of the best chinese restaurants in the area. Enjoy"
69,craziallstar,None,None,7-December-2014,"Good food, good prices, nice lady on the phone. I always order from this place. Order is always right!"
70,Winnie S,Singapore,None,3-December-2014,"Its the third time I visit this restaurant and the quality of food still maintain at excellent level. The Peking Duck is a must-try-item in this restaurant. Another item I would recommend is handmade noodles. The restaurant is located next to the house of dancing waters. A good place for dining for the show goers."
71,MIchiu4,None,None,21-November-2014,"This is my favorite high end chinese restaurant in Macau. The setting is very appropriate, not too traditional. It's spacious and tables are far from each other. It gives you a sense something is happening, with people walking past.
I have been there a few times and the food is always good, the Peking Duck is excellent, all the more spicy or sour dishes i have had are very good, you can sense the quality and professionalism. It's not a warm and cosy place but it's not noisy either. The service is, of course, good, not too intrusive. Although I prefer to have this kind of chinese food with a group it's perfectly ok for a couple."
72,LondonLifestyle2010,London,United Kingdom,14-November-2014,"We were meeting up with family friends on a Sunday night and being a local she recommended Beijing Kitchen.

My husband & I already had Peking duck the night before when we were visiting Hong Kong and decided to give it another go. To our surprise the duck was almost as good as the one we had in Hong Kong. The rest of the dishes were mouth watering especially the dumpling dishes (fried & steamed). I wasn't too keen on the pork and noodle soup as the pork was quite tough but the soup and noodles were delicious.

The services was excellent and the waitress/waiter were not constantly in our face but attentive. It was also quite busy for a Sunday evening (we reserved the table for 8:30pm).

I would go back on our next trip to Macau."
73,SipsTea,None,None,8-November-2014,"Beijing duck was excellent. A must over here. Only gripe I had was the portion. We also had the chocolate mousse cake with green tea cream and vanilla ice cream - another must try!"
74,Kuni07,Luxembourg City,Luxembourg,12-October-2014,"went there after the House of the Dancing Water performance at 9:45 pm. Although the late hour, received a table and had as an appetizer the jelly fish which was delicious. Followed by sweet and sour soup followed by lamb with coriander and a vegetable mix. All was very good, spiced to perfection with an efficient and friendly service. Will come back to taste the duck."
75,TravelPalS_12,Zurich,Switzerland,6-October-2014,"I love pretty much all about this place. The spicy chicken was perfectly fiery. The dumplings delicious, the rice noodles tasty and the beef in it very nice. They have a wood fire for their Beijing Duck, which I have yet to try... I am sure it will be equally great an experience.

Deco is modern and tasteful. You can watch the people working in the kitchen. Service is attentive and the place is child friendly. Eg providing high chair etc. at the same time, the restaurant is large enough, for those which don't want to sit near a family... The place features a number of very nicely sheltered tables where you might forget that there are there are other people in the restaurant. Private rooms are available too."
76,Rat-a-Tour,None,None,1-August-2014,"Don't eat peking duck here u have wasted your Macau trip. Spongy crispy skin that melts in the mouth. Keep it up."
77,HappyTravel0504,None,None,30-June-2014,"Peaking duck is a must eat item. Very tasty. One of the best peaking duck I had in Hong Kong and Macau region. The restaurant is modern. Open kitchen and high ceiling. Recommend for duck lover"
78,jjtomoro,None,None,20-June-2014,"No doubt the food is very good, remember to pre-order the Beijing duck beforehand. The price is not too expensive considering its class and venue. Good choice to celebrate occasions with elderly for a nice decent Chinese food."
79,Allan2212,None,None,8-June-2014,"Ordered a duck which tasted among the best with special aroma and taste. Other food was in normal range. Received different treatment from other table where they are given wet towel but we are not. I wonder double standard as we are low spender?"
80,Glen R,None,None,31-May-2014,"I really enjoy the food here and recommend it to our friends when visiting Macau. Efficient and great variety of asian food."
81,adamtaz,None,None,3-May-2014,"We ate at the Beijing Kitchen on a recommendation from a friend and wasn't left dissapointed. The table was booked an hour before we ate which wasn't a problem at all.
We ordered 4 appetisers to share and then the deep fried chicken and boiled rice to share for our main course. All being very tasty!
The bill came to around £53, so not bad for 4 alcoholic drinks, 4 starters, main and rice.
I'd definetly recommend eating here if you can."
82,Malihousa,Ann Arbor,Michigan,29-April-2014,"The soup of rice crust and three delicacies was delicious. The rice crust was crispy and not over cooked. The Sliced noodles was good but you have to wait for awhile. They sliced the Beijing Duck right beside the table for you was interesting to watch.
The decoration with the wall of the tea pots and the tea storage cans was unique."
83,SGJoSG,SG,None,28-February-2014,"Reserved prior half Beijing Duck for dinner. Service staffs are lack of smiles & doesn't seem interactive. Order as well other dishes & I'm impressed with the food quality though not the best. In the midst of dining, restaurant lighting was being tune high/low for quite long period that's kinda disturbance."
84,Katy G,None,None,9-January-2014,"The handmade flat noodles with chili was delicious! Also, the Tianjin gobuli baozi were pretty tasty. Great service too."
85,Elgato72,Fremantle,Australia,6-January-2014,"We made a reservation for the Beijing Kitchen and pre ordered the duck - which arrived promptly after arrival. Service was professional and decor wonderfully contemporary with amazing view of exposed kitchen/preparation areas giving the diner a unique perspective and somewhat interactive experience.

The Sichuan dishes will blow your socks off."
86,exectraveler888,Alaska,None,26-December-2013,"This looked a great place to drop in and eat for lunch, however with 6 chefs, and a 75 minute wait to be served one of the chefs recommendations of duck, and a twenty minute wait for other dishes this is not somewhere you would go unless you had the afternoon to spare. The attitude of the asst manager was 'take it or leave it', which is not Grand Hyatt standard. Not a place I would rush back to when there are so many good restaurants just down the street at Taipa Plaza."
87,mimi_smile,None,None,9-December-2013,"Food quality is good and waiters polite, the food is also very good that they introduced, and if the price will lower some of the better"
88,keriman,Bay of Islands,New Zealand,29-October-2013,"Like many, a taste of Peking Duck was what we were after, phoned and booked from our Hotel, that was effortless and booked for half a duck as the restaurant said that half was sufficient for two persons.

Restaurant was full when we arrived, but sure enough there was our table. Waiting staff pleasant and explained everything and then soon after out can the duck. It was carved at our table and suggestions made about how to eat it. Greta experience and food was lovely.

Only down side was the air conditioning in the restaurant was a bit on the cool side - but cant please everyone I guess."
89,Andy700311,None,None,20-September-2013,"The food is very good, especially the sour fish. And they have this wasabi oil sauce you can use it for many dishes."
90,LYCP622,Kaohsiung,Taiwan,19-September-2013,"I travelled with my sister to Macau as a celebration to passing my professional exam, we wanted to make it extra special by treating ourselves to Beijing kitchen and it's famous Peking duck. We were not disappointed, the duck was excellent and the best I've had! The duck skin was very crispy, and the duck meat tender and juicy.

The staffs were very attentive, and came by several times to ask whether if we were enjoying our food. We were pleasantly surprised at the end of our dinner by a set of complimentary moon cakes as deserts, for the mid-autumn festival.

Overall a very nice experience, Peking duck is a must eat dish! Remember to make reservations first because it gets booked up easily on special days. We would definitely come back to this restaurant if we come to Macau again!"
91,kimng854,Singapore,Singapore,12-September-2013,"We had a table for 10 people and we ordered a peking duck. It was not presented and carved by the table like most restaurants, by the time the duck came to us, it was already on a platter with pieces, we didn't even see the whole duck.
The noodles were not nicely done and it was congealed. The other items - cold dishes, or siao zhi was just fair.
Quite disappointing as the ambience was nice and the setting was very impressive especially at the entrance with all the little teapots."
92,TristanAmelia,None,None,13-August-2013,"I had booked tickets for the House of Dancing Water in the adjoining casino, so decided to make reservations here. You need to book in advance to get the Peking Duck, which was divine. I want it right now. There's also an extensive list of teas on the menu, which I appreciate.."
93,Linaioo7,None,None,14-July-2013,"our experience having a half pecking duck was fun and delicious. Staff are friendly and kind enough to show us how to eat this meal."
94,Presser-canard,London,United Kingdom,29-June-2013,"The whole duck was ok but for me it doesn't do it any more...
The staff was very cold, distant and careless or the room was maybe...or perhaps me self..!
Honest, it was very good because i did not pay!
Diplomatic, i will definately come back...when i don't know.
Sarcastic, the pancakes were as cold as the staff and steaming like my brain...and hopefully not as clean as the ice cream fridge (not to mention).
Good luck if you go there...i mean if you go for the roulette game...

Design ok, toilet clean, no follow up from managment if we were ok..."
95,YinChin,None,None,15-June-2013,"Peking duck was succulent and tasty. Other dishes like mandarin fish and Szechuan tofu were good too. Service was efficient and friendly."
96,NineDragons,Ichikawa,Japan,14-June-2013,"I went there for lunch during company meeting.
Peking duck was authentic as other northern Chinese cuisine.
Waiters were too few for large table of approx 20 people. We had to wait for service because of that.
Quite many of fresh plates had to be returned for clean ones."
97,thehungrylady,manila,None,4-June-2013,"I've been to Macau twice or thrice these past two years and each time I'm there, Beijing Kitchen is always a must! I love the atmosphere... the interiors... and of course the food. Excellent. The Peking Duck is so clean, delicious and not greasy! I highly recommend this to friends who plan on visiting Macau!"
98,Boss527,None,None,28-May-2013,"Peking duck is a must try. Also try their Chinese hamburger (肉夹馍). Try their cold dishes of drunken chicken and jellyfish head. Peking duck is very surprising that it is much better than those in Beiing."
99,kangelini,None,None,19-April-2013,"This is my favourite Chinese restaurant in Macau. It offers tasty dishes from all over China. I live in Hong Kong so my offer of Chinese food is heavily skewed to Cantonese food. While Beijing kitchen offers great Chinese food from almost all provinces."
100,RiffatNH,None,None,13-April-2013,"The food is fantastic, authenic chinese. The peking duck is a must! Very affordable too! Decor is nice, modern feel with old chinese pictures."
101,Frank S,Isle of Man,United Kingdom,12-April-2013,"Went for lunch there during a recent stay at the Grand Hyatt. We had what can only be described as a wild mixture of dishes from the menu and every single one of them was simply very, very good. Amazing in quality and taste, complimented by very good service. No surprise that it's not the cheapest place around, but it sure is nice and worth the money."
102,thelittlebigsister,None,None,9-April-2013,"Famous for their Peking duck. Better order ahead as it takes one hour to cook this delicious dish. We were seated near the glass walled kitchen - very entertaining and educational to watch the master chefs at work. I would definitely go back again!"
103,chopin63,None,None,29-March-2013,"We were recommended this restaurant by our hotel and fellow trip advisor reviewers. To have the duck you must order before hand. Our entree was very nice and enjoyable but we were disappointed by the duck. We found some of the meat very tough. Overall,...More"
104,LHOVancouver,None,None,25-March-2013,"We enjoyed the House of Dancing Water Show Theatre (right next door) and then tucked into a half duck (for 2 of us) and great Dumplings and Pulled Noodles. Must order Duck in advance, and a shame if you missed it..."
105,MarkandRoni,None,None,12-March-2013,"This resturant was fantastic. Our waiter Forest was brilliant. He recommended great dishes and when our Peking Duck arrived showed us the right way to eat it with the various condiments. I have never dipped the skin in sugar before but this is now my...More"
106,John B,None,None,22-February-2013,"Everything in Macau is on a grand scale, including the Grand Hyatt. Nestled close to the lobby on the ground floor you'll find the Beijing Kitchen - a restaurant that does everything well. The Peking Duck, a favourite dish of mine, is among the best...More"
107,Lizzymckenzie,None,None,10-February-2013,"Great service and the food.... it's absolutely delicious. The servings are pretty big and are meant for sharing. Recommend the dumplings and this cabbage that is served with some sort of duck broth. Yum! Great ambiance!"
108,Mikeyflee,None,None,29-January-2013,"Excellent dining experience. Great service and food. Must try food item - Peking duck and Roast meal. One thing about Hyatt. All staffs were attentive and great attention to details by table. It is also easy to different which staff can speak other language with...More"
109,FullerGriffins,None,None,31-December-2012,"Handmade dumplings to die for, Peking duck done properly and beef that melts in your mouth. A great restaurant in Macau and a sister restaurant of one of the best in Beijing namely Made in China in the Grand Hyatt... Definitely worth a visit..."
110,TravelerG2011,None,None,18-December-2012,"We were rushing to watch House of Dancing Water and Beijing Kitchen is located across the entrance to the show. We ordered the fried rice and Fish with rice soup. The food was okay and nothing to rave about. For what we ordered, it was...More"
111,Calvin L,None,None,11-December-2012,"Roasted BBQ pork was roasted on order. The dishes were more salty than I prefer. Service is very good and attentive."
112,Presser-canard,None,None,23-November-2012,"Impressive restaurant, dash cold.... Warm greeting from bartender, i guess... Ordered Long Jing tea...did not taste like one...? We were kind of told that the restaurant will be very busy... Duck liver appetizer was great and unusual...The soups were tasty and too small... We did...More"
113,kingcolt2016,None,None,29-October-2012,"The roasted duck was not as good as always. It was not well-marinated and the meat became quite tasteless. I think it's due to too many customers."
